day,month,year,prayer_id,"time","country_id","city_id",source_id,"updated"
1,9,2012,1,"05:44:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,9,2012,2,"07:01:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,9,2012,3,"13:06:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,9,2012,4,"16:17:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,9,2012,5,"19:09:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,9,2012,6,"20:19:00","SG","Singapore",1,"2013-01-15 07:35:35"
1,9,2013,1,"05:44:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,9,2013,2,"07:01:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,9,2013,3,"13:06:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,9,2013,4,"16:17:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,9,2013,5,"19:09:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,9,2013,6,"20:19:00","SG","Singapore",1,"2013-04-04 01:09:53"
1,9,2014,1,"05:43:00","SG","Singapore",1,"2013-12-16 15:28:58"
1,9,2014,2,"07:01:00","SG","Singapore",1,"2013-12-16 15:28:58"
1,9,2014,3,"13:06:00","SG","Singapore",1,"2013-12-16 15:28:58"
1,9,2014,4,"16:17:00","SG","Singapore",1,"2013-12-16 15:28:58"
1,9,2014,5,"19:09:00","SG","Singapore",1,"2013-12-16 15:28:58"
1,9,2014,6,"20:19:00","SG","Singapore",1,"2013-12-16 15:28:58"
1,9,2015,1,"05:43:00","SG","Singapore",1,"2014-12-28 05:50:47"
1,9,2015,2,"07:01:00","SG","Singapore",1,"2014-12-28 05:50:47"
1,9,2015,3,"13:06:00","SG","Singapore",1,"2014-12-28 05:50:47"
1,9,2015,4,"16:17:00","SG","Singapore",1,"2014-12-28 05:50:47"
1,9,2015,5,"19:09:00","SG","Singapore",1,"2014-12-28 05:50:47"
1,9,2015,6,"20:19:00","SG","Singapore",1,"2014-12-28 05:50:47"
1,9,2016,1,"05:43:00","SG","Singapore",1,"2015-12-31 04:02:22"
1,9,2016,2,"07:01:00","SG","Singapore",1,"2015-12-31 04:02:22"
1,9,2016,3,"13:06:00","SG","Singapore",1,"2015-12-31 04:02:23"
1,9,2016,4,"16:16:00","SG","Singapore",1,"2015-12-31 04:02:23"
1,9,2016,5,"19:09:00","SG","Singapore",1,"2015-12-31 04:02:23"
