day,month,year,"country_id",hijrah_day,hijrah_month,hijrah_year
6,7,2015,"SG",19,9,1436
6,7,2016,"SG",1,10,1438
6,7,2017,"SG",12,10,1438
6,8,2012,"SG",16,9,1433
6,8,2013,"SG",28,9,1434
6,8,2014,"SG",10,10,1435
6,8,2015,"SG",21,10,1436
6,8,2016,"SG",3,11,1438
6,8,2017,"SG",13,11,1438
6,9,2012,"SG",19,10,1433
6,9,2013,"SG",30,10,1434
6,9,2014,"SG",11,11,1435
6,9,2015,"SG",22,11,1436
6,9,2016,"SG",4,12,1438
6,9,2017,"SG",15,12,1438
6,10,2012,"SG",19,11,1433
6,10,2013,"SG",1,12,1434
6,10,2014,"SG",11,12,1435
6,10,2015,"SG",22,12,1436
6,10,2016,"SG",5,1,1439
6,10,2017,"SG",15,1,1439
6,11,2012,"SG",21,12,1433
6,11,2013,"SG",2,1,1435
6,11,2014,"SG",13,1,1436
6,11,2015,"SG",24,1,1437
6,11,2016,"SG",6,2,1439
6,11,2017,"SG",17,2,1439
6,12,2012,"SG",22,1,1434
6,12,2013,"SG",3,2,1435
6,12,2014,"SG",13,2,1436
6,12,2015,"SG",24,2,1437
6,12,2016,"SG",6,3,1439
6,12,2017,"SG",17,3,1439
6,13,2012,"SG",22,1,1434
7,1,2012,"SG",13,2,1433
7,1,2013,"SG",23,2,1434
7,1,2014,"SG",5,3,1435
7,1,2015,"SG",16,3,1436
7,1,2016,"SG",26,3,1438
7,1,2017,"SG",8,4,1438
7,2,2012,"SG",14,3,1433
7,2,2013,"SG",25,3,1434
7,2,2014,"SG",6,4,1435
7,2,2015,"SG",17,4,1436
7,2,2016,"SG",28,4,1438
7,2,2017,"SG",10,5,1438
7,3,2012,"SG",14,4,1433
7,3,2013,"SG",24,4,1434
7,3,2014,"SG",5,5,1435
7,3,2015,"SG",16,5,1436
7,3,2016,"SG",27,5,1438
7,3,2017,"SG",8,6,1438
7,4,2012,"SG",15,5,1433
7,4,2013,"SG",26,5,1434
7,4,2014,"SG",6,6,1435
7,4,2015,"SG",17,6,1436
7,4,2016,"SG",29,6,1438
7,4,2017,"SG",10,7,1438
7,5,2012,"SG",15,6,1433
7,5,2013,"SG",26,6,1434
7,5,2014,"SG",6,7,1435
7,5,2015,"SG",18,7,1436
7,5,2016,"SG",29,7,1438
7,5,2017,"SG",10,8,1438
7,6,2012,"SG",17,7,1433
7,6,2013,"SG",28,7,1434
7,6,2014,"SG",8,8,1435
7,6,2015,"SG",20,8,1436
7,6,2016,"SG",2,9,1438
7,6,2017,"SG",12,9,1438
7,7,2012,"SG",17,8,1433
7,7,2013,"SG",28,8,1434
7,7,2014,"SG",9,9,1435
7,7,2015,"SG",20,9,1436
7,7,2016,"SG",2,10,1438
7,7,2017,"SG",13,10,1438
7,8,2012,"SG",17,9,1433
7,8,2013,"SG",29,9,1434
7,8,2014,"SG",11,10,1435
7,8,2015,"SG",22,10,1436
7,8,2016,"SG",4,11,1438
7,8,2017,"SG",14,11,1438
7,9,2012,"SG",20,10,1433
7,9,2013,"SG",1,11,1434
7,9,2014,"SG",12,11,1435
7,9,2015,"SG",23,11,1436
7,9,2016,"SG",5,12,1438
7,9,2017,"SG",16,12,1438
7,10,2012,"SG",20,11,1433
7,10,2013,"SG",2,12,1434
7,10,2014,"SG",12,12,1435
7,10,2015,"SG",23,12,1436
7,10,2016,"SG",6,1,1439
7,10,2017,"SG",16,1,1439
7,11,2012,"SG",22,12,1433
7,11,2013,"SG",3,1,1435
7,11,2014,"SG",14,1,1436
7,11,2015,"SG",25,1,1437
7,11,2016,"SG",7,2,1439
7,11,2017,"SG",18,2,1439
